target,pred,prob,entropy,free_energy,accept_entropy,accept_free_energy
1,1,0.7063335180282593,0.6054020524024963,0.46874816417694093,True,True
0,1,0.7387669682502747,0.574342668056488,1.457210910320282,True,False
1,1,0.6014741063117981,0.6724094152450562,0.6428537130355835,True,True
0,1,0.5841652154922485,0.6789119243621826,1.013249659538269,False,True
1,1,0.8937705755233765,0.3385586738586426,0.18001789748668673,True,True
1,1,0.8980075120925903,0.3294389843940735,0.1734646439552307,True,True
1,1,0.8916991949081421,0.34294795989990234,0.1832160219550133,True,True
1,1,0.9374867677688599,0.23382748663425446,0.11131813228130341,True,True
1,1,0.6610627174377441,0.640328049659729,0.5419721841812134,True,True
0,1,0.5952205061912537,0.674902081489563,1.0393932223320008,True,False
1,1,0.8082760572433472,0.4887130558490753,0.3105942398309708,True,True
1,1,0.7566612958908081,0.5548979043960571,0.38981913924217226,True,True
1,1,0.8723272085189819,0.3819386959075928,0.21297842860221863,True,True
1,1,0.9327430725097656,0.24648496508598328,0.1189224898815155,True,True
1,1,0.5884172320365906,0.6774294376373291,0.6658048629760742,False,True
1,1,0.7353724241256714,0.5778417587280273,0.42294655442237855,True,True
1,1,0.8558176755905151,0.4124835729598999,0.23819464147090913,True,True
1,1,0.650539755821228,0.6471118927001953,0.5593752384185791,True,True
1,1,0.898003876209259,0.3294469118118286,0.1734702751040459,True,True
0,1,0.5904131531715393,0.6767078042030334,1.0279478788375855,False,False
0,1,0.5913277864456177,0.6763716340065002,1.0301162362098695,False,False
1,1,0.8271459341049194,0.46038293838500977,0.281850728392601,True,True
1,1,0.5824317336082458,0.6794949769973755,0.676442313194275,False,True
1,1,0.7073507905006409,0.6045067310333252,0.4671299159526825,True,True
1,1,0.6942705512046814,0.6156409978866577,0.4880217552185059,True,True
0,1,0.5822684168815613,0.6795492768287659,1.0088260769844055,False,True
1,1,0.8959220051765442,0.3339519500732422,0.17669230997562407,True,True
0,1,0.5853107571601868,0.6785198450088501,1.0159298062324524,False,True
0,1,0.5893600583076477,0.6770906448364258,1.0254566192626953,False,False
1,1,0.9036165475845337,0.3170631527900696,0.1647628113627434,True,True
0,1,0.5829951763153076,0.6793068051338196,1.0105188727378844,False,True
1,1,0.6313084363937378,0.6582556366920471,0.5916118562221527,True,True
1,1,0.8660167455673218,0.3938891291618347,0.222628852725029,True,True
1,1,0.5911701917648315,0.676429808139801,0.6609372973442078,False,True
1,1,0.9188302755355835,0.2816169857978821,0.1409772515296936,True,True
1,1,0.7661285400390625,0.5439121127128601,0.37518773674964906,True,True
0,1,0.5769058465957642,0.6812710762023926,0.9964147448539734,False,True
1,1,0.6013766527175903,0.67244952917099,0.6430237412452697,True,True
0,1,0.5964983105659485,0.6744059324264526,1.042455780506134,True,False
0,1,0.5794899463653564,0.6804561018943787,1.0023780941963196,False,True
1,1,0.8508039712905884,0.42131197452545166,0.2458359241485596,True,True
